Id,Date,TotalSteps,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,TotalMinutesSleep,TotalTimeInBed
1503960366,2016-04-12,13162,1985,25,13,328,327,346
1503960366,2016-04-13,10735,1797,21,19,217,384,407
1503960366,2016-04-14,10460,1776,30,11,181,,
1503960366,2016-04-15,9762,1745,29,34,209,412,442
1503960366,2016-04-16,12669,1863,36,10,221,340,367
1503960366,2016-04-17,9705,1728,38,20,164,700,712
1503960366,2016-04-18,13019,1921,42,16,233,,
1503960366,2016-04-19,15506,2035,50,31,264,304,320
1503960366,2016-04-20,10544,1786,28,12,205,360,377
1503960366,2016-04-21,9819,1775,19,8,211,325,364
1503960366,2016-04-22,12764,1827,66,27,130,,
1503960366,2016-04-23,14371,1949,41,21,262,361,384
1503960366,2016-04-24,10039,1788,39,5,238,430,449
1503960366,2016-04-25,15355,2013,73,14,216,277,323
1503960366,2016-04-26,13755,1970,31,23,279,245,274
1503960366,2016-04-27,18134,2159,78,11,243,,
1503960366,2016-04-28,13154,1898,48,28,189,366,393
1503960366,2016-04-29,11181,1837,16,12,243,341,354
1503960366,2016-04-30,14673,1947,52,34,217,404,425
1503960366,2016-05-01,10602,1820,33,35,246,369,396
1503960366,2016-05-02,14727,2004,41,15,277,277,309
1503960366,2016-05-03,15103,1990,50,24,254,273,296
1503960366,2016-05-04,11100,1819,36,22,203,,
1503960366,2016-05-05,14070,1959,45,24,250,247,264
1503960366,2016-05-06,12159,1896,24,6,289,334,367
1503960366,2016-05-07,11992,1821,37,46,175,331,349
1503960366,2016-05-08,10060,1740,44,8,203,594,611
1503960366,2016-05-09,12022,1819,46,11,206,338,342
1503960366,2016-05-10,12207,1859,46,31,214,383,403
1503960366,2016-05-11,12770,1783,36,23,251,285,306
1503960366,2016-05-12,0,0,0,0,0,,
1624580081,2016-04-12,8163,1432,0,0,146,,
1624580081,2016-04-13,7007,1411,0,0,148,,
1624580081,2016-04-14,9107,1572,0,0,236,,
1624580081,2016-04-15,1510,1344,0,0,96,,
1624580081,2016-04-16,5370,1463,0,0,176,,
1624580081,2016-04-17,6175,1554,15,22,127,,
1624580081,2016-04-18,10536,1604,17,7,202,,
1624580081,2016-04-19,2916,1435,0,0,141,,
1624580081,2016-04-20,4974,1446,0,0,151,,
1624580081,2016-04-21,6349,1467,0,0,186,,
1624580081,2016-04-22,4026,1470,0,0,199,,
1624580081,2016-04-23,8538,1562,0,0,227,,
1624580081,2016-04-24,6076,1617,16,18,185,,
1624580081,2016-04-25,6497,1492,0,0,202,,
1624580081,2016-04-26,2826,1402,0,0,140,,
1624580081,2016-04-27,8367,1670,17,36,154,,
1624580081,2016-04-28,2759,1401,0,5,115,,
1624580081,2016-04-29,2390,1404,0,0,150,,
1624580081,2016-04-30,6474,1655,11,23,224,,
1624580081,2016-05-01,36019,2690,186,63,171,,
1624580081,2016-05-02,7155,1497,7,6,166,,
1624580081,2016-05-03,2100,1334,0,0,96,,
1624580081,2016-05-04,2193,1368,0,0,118,,
1624580081,2016-05-05,2470,1370,0,0,117,,
1624580081,2016-05-06,1727,1341,0,0,102,,
1624580081,2016-05-07,2104,1474,0,0,182,,
